question_mark,_www,ratio_digits_url,ratio_digits_host,tld_in_subdomain,abnormal_subdomain,prefix_suffix,phish_hints,statistical_report,ratio_intHyperlinks,external_favicon,ratio_intMedia,ratio_extMedia,empty_title,domain_in_title,domain_with_copyright,domain_age,dns_record,google_index,page_rank,status
1,1,0.108695652,0.0,0,0,0,0,0,0.93006993,1,100.0,0.0,0,1,1,6678,0,0,5,1
0,0,0.0546875,0.058333333,0,0,0,2,0,0.0,0,0.0,0.0,1,1,0,65,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,1.0,0,0.0,0.0,0,1,0,1707,0,1,0,1
0,1,0.142857143,0.230769231,0,0,0,0,0,0.962871287,0,92.30769231,7.692307692,0,1,1,1331,0,0,0,0
0,1,0.0,0.0,0,0,0,0,0,0.684210526,1,50.0,50.0,0,0,0,1662,0,0,4,0
1,0,0.1171875,0.0,1,0,1,0,0,1.0,0,100.0,0.0,0,1,1,3993,0,1,0,1
1,1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,1,0,7330,0,0,4,1
0,0,0.0,0.0,0,0,0,3,0,1.0,0,0.0,0.0,0,1,0,-1,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.939130435,0,100.0,0.0,0,0,1,5046,0,0,5,0
0,1,0.0,0.0,0,0,0,0,0,0.363636364,1,0.0,100.0,0,1,1,3505,0,0,2,0
0,1,0.0,0.0,0,0,1,3,0,0.205298013,1,40.0,60.0,0,1,0,-1,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.885714286,1,100.0,0.0,0,1,1,-1,0,0,2,0
0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,0,-1,0,1,0,1
0,0,0.035714286,0.047619048,0,0,0,0,0,0.071428571,1,0.0,0.0,0,1,0,7295,0,1,5,1
0,1,0.071428571,0.0,0,0,0,0,0,0.564102564,1,0.0,0.0,1,1,1,5640,0,1,10,0
1,0,0.1,0.0,0,0,1,0,0,0.115384615,1,0.0,0.0,0,1,0,8019,0,1,4,1
0,1,0.0,0.0,0,0,0,0,0,0.640243902,1,100.0,0.0,0,0,0,8147,0,0,6,0
0,1,0.080645161,0.0,0,0,0,0,0,0.915492958,0,71.42857143,28.57142857,0,1,1,5826,0,0,5,0
0,1,0.016129032,0.0,0,0,0,0,0,0.485148515,1,0.0,100.0,0,1,0,5132,0,0,7,0
0,0,0.0,0.0,0,0,1,1,0,0.277777778,0,100.0,0.0,0,1,1,5,0,1,0,1
0,1,0.0,0.0,0,0,0,0,0,0.714285714,1,100.0,0.0,0,1,0,5001,0,0,3,0
0,0,0.222222222,0.0,0,0,1,0,0,0.0,0,0.0,0.0,0,1,0,199,0,0,0,1
0,1,0.0,0.0,0,0,0,0,0,0.896103896,1,76.92307692,23.07692308,0,0,0,6140,0,0,3,0
0,1,0.0,0.0,0,0,0,0,0,0.391304348,1,0.0,0.0,0,1,1,3494,0,0,3,0
